GSM424320       GM06985_RNAseq
GSM424321       GM06993_RNAseq
GSM424322       GM06994_RNAseq
GSM424323       GM07000_RNAseq
GSM424324       GM07022_RNAseq
GSM424325       GM07034_RNAseq
GSM424326       GM07055_RNAseq
GSM424327       GM07056_RNAseq
GSM424328       GM07345_RNAseq
GSM424329       GM11829_RNAseq
GSM424330       GM11830_RNAseq
GSM424331       GM11831_RNAseq
GSM424332       GM11832_RNAseq
GSM424333       GM11839_RNAseq
GSM424334       GM11881_RNAseq
GSM424335       GM11882_RNAseq
GSM424336       GM11992_RNAseq
GSM424337       GM11993_RNAseq
GSM424338       GM11994_RNAseq
GSM424339       GM12003_RNAseq
GSM424340       GM12004_RNAseq
GSM424341       GM12005_RNAseq
GSM424342       GM12006_RNAseq
GSM424343       GM12043_RNAseq
GSM424344       GM12044_RNAseq
GSM424345       GM12056_RNAseq
GSM424346       GM12057_RNAseq
GSM424347       GM12144_RNAseq
GSM424348       GM12145_RNAseq
GSM424349       GM12155_RNAseq
GSM424350       GM12264_RNAseq
GSM424351       GM12716_RNAseq
GSM424352       GM12717_RNAseq
GSM424353       GM12750_RNAseq
GSM424354       GM12762_RNAseq
GSM424355       GM12813_RNAseq
GSM424356       GM12814_RNAseq
GSM424357       GM12815_RNAseq
GSM424358       GM12872_RNAseq
GSM424359       GM12874_RNAseq
GSM424360       GM12891_RNAseq
