GM06980	GSM420458
GM06981	GSM420459
GM06982	GSM420460
GM06983	GSM420461
GM06985	GSM420462
GM06985	GSM420463
GM06986	GSM420464
GM06987	GSM420465
GM06987	GSM420466
GM06988	GSM420467
GM06990	GSM420468
GM06991	GSM420469
GM06991	GSM420470
GM06992	GSM420471
GM06993	GSM420472
GM06993	GSM420473
GM06994	GSM420474
GM06994	GSM420475
GM06995	GSM420476
GM06996	GSM420477
GM06997	GSM420478
GM06998	GSM420479
GM06999	GSM420480
GM07000	GSM420481
GM07000	GSM420482
GM07001	GSM420483
GM07002	GSM420484
GM07002	GSM420485
GM07003	GSM420486
GM07004	GSM420487
GM07005	GSM420488
GM07006	GSM420489
GM07008	GSM420490
GM07009	GSM420491
GM07010	GSM420492
GM07011	GSM420493
GM07012	GSM420494
GM07013	GSM420495
GM07013	GSM420496
GM07014	GSM420497
GM07014	GSM420498
GM07015	GSM420499
GM07016	GSM420500
GM07017	GSM420501
GM07017	GSM420502
GM07018	GSM420503
GM07019	GSM420504
GM07019	GSM420505
GM07020	GSM420506
GM07021	GSM420507
GM07022	GSM420508
GM07022	GSM420509
GM07023	GSM420510
GM07024	GSM420511
GM07025	GSM420512
GM07026	GSM420513
GM07027	GSM420514
GM07028	GSM420515
GM07029	GSM420516
GM07029	GSM420517
GM07030	GSM420518
GM07031	GSM420519
GM07031	GSM420520
GM07032	GSM420521
GM07033	GSM420522
GM07034	GSM420523
GM07034	GSM420524
GM07035	GSM420525
GM07036	GSM420526
GM07038	GSM420527
GM07038	GSM420528
GM07039	GSM420529
GM07040	GSM420530
GM07042	GSM420531
GM07042	GSM420532
GM07044	GSM420534
GM07045	GSM420535
GM07046	GSM420536
GM07046	GSM420537
GM07047	GSM420538
GM07048	GSM420539
GM07048	GSM420540
GM07049	GSM420541
GM07049	GSM420542
GM07050	GSM420543
GM07051	GSM420544
GM07051	GSM420545
GM07052	GSM420546
GM07053	GSM420547
GM07054	GSM420548
GM07055	GSM420549
GM07055	GSM420550
GM07056	GSM420551
GM07056	GSM420552
GM07057	GSM420553
GM07058	GSM420554
GM07059	GSM420555
GM07060	GSM420556
GM07061	GSM420557
GM07062	GSM420558
GM07340	GSM420559
GM07341	GSM420560
GM07341	GSM420561
GM07342	GSM420562
GM07343	GSM420563
GM07344	GSM420564
GM07345	GSM420565
GM07345	GSM420566
GM07346	GSM420567
GM07346	GSM420568
GM07347	GSM420569
GM07347	GSM420570
GM07348	GSM420571
GM07348	GSM420572
GM07349	GSM420573
GM07349	GSM420574
GM07350	GSM420575
GM07351	GSM420576
GM07352	GSM420577
GM07353	GSM420578
GM07354	GSM420579
GM07355	GSM420580
GM07356	GSM420581
GM07357	GSM420582
GM07357	GSM420583
GM07431	GSM420584
GM07432	GSM420585
GM07433	GSM420586
GM07434	GSM420587
GM07434	GSM420588
GM07436	GSM420589
GM07437	GSM420590
GM07678	GSM420591
GM07679	GSM420592
GM07694	GSM420593
GM10830	GSM420594
GM10830	GSM420595
GM10831	GSM420596
GM10831	GSM420597
GM10832	GSM420598
GM10833	GSM420599
GM10834	GSM420600
GM10834	GSM420601
GM10835	GSM420602
GM10835	GSM420603
GM10836	GSM420604
GM10837	GSM420605
GM10838	GSM420606
GM10839	GSM420607
GM10840	GSM420608
GM10840	GSM420609
GM10841	GSM420610
GM10841	GSM420611
GM10842	GSM420612
GM10842	GSM420613
GM10843	GSM420614
GM10843	GSM420615
GM10844	GSM420616
GM10844	GSM420617
GM10845	GSM420618
GM10845	GSM420619
GM10846	GSM420620
GM10846	GSM420621
GM10847	GSM420622
GM10847	GSM420623
GM10848	GSM420624
GM10849	GSM420625
GM10850	GSM420626
GM10851	GSM420627
GM10852	GSM420628
GM10852	GSM420629
GM10853	GSM420630
GM10854	GSM420631
GM10855	GSM420632
GM10856	GSM420633
GM10857	GSM420634
GM10857	GSM420635
GM10858	GSM420636
GM10858	GSM420637
GM10859	GSM420638
GM10859	GSM420639
GM10860	GSM420640
GM10861	GSM420641
GM10861	GSM420642
GM10862	GSM420643
GM10863	GSM420644
GM11820	GSM420645
GM11821	GSM420646
GM11822	GSM420647
GM11824	GSM420648
GM11825	GSM420649
GM11826	GSM420650
GM11827	GSM420651
GM11828	GSM420652
GM11829	GSM420653
GM11830	GSM420654
GM11831	GSM420655
GM11832	GSM420656
GM11833	GSM420657
GM11834	GSM420658
GM11835	GSM420659
GM11836	GSM420660
GM11837	GSM420661
GM11838	GSM420662
GM11839	GSM420663
GM11840	GSM420664
GM11841	GSM420665
GM11842	GSM420666
GM11870	GSM420667
GM11871	GSM420668
GM11872	GSM420669
GM11875	GSM420670
GM11876	GSM420671
GM11877	GSM420672
GM11878	GSM420673
GM11879	GSM420674
GM11879	GSM420675
GM11880	GSM420676
GM11880	GSM420677
GM11881	GSM420678
GM11881	GSM420679
GM11882	GSM420680
GM11882	GSM420681
GM11883	GSM420682
GM11909	GSM420683
GM11910	GSM420684
GM11911	GSM420685
GM11912	GSM420686
GM11913	GSM420687
GM11914	GSM420688
GM11915	GSM420689
GM11916	GSM420690
GM11917	GSM420691
GM11917	GSM420692
GM11918	GSM420693
GM11918	GSM420694
GM11919	GSM420695
GM11919	GSM420696
GM11920	GSM420697
GM11920	GSM420698
GM11922	GSM420699
GM11923	GSM420700
GM11924	GSM420701
GM11925	GSM420702
GM11926	GSM420703
GM11927	GSM420704
GM11928	GSM420705
GM11929	GSM420706
GM11930	GSM420707
GM11930	GSM420708
GM11931	GSM420709
GM11931	GSM420710
GM11932	GSM420711
GM11932	GSM420712
GM11933	GSM420713
GM11933	GSM420714
GM11982	GSM420715
GM11983	GSM420716
GM11984	GSM420717
GM11985	GSM420718
GM11986	GSM420719
GM11987	GSM420720
GM11988	GSM420721
GM11989	GSM420722
GM11992	GSM420723
GM11992	GSM420724
GM11993	GSM420725
GM11993	GSM420726
GM11994	GSM420727
GM11994	GSM420728
GM11995	GSM420729
GM11995	GSM420730
GM11997	GSM420731
GM11998	GSM420732
GM11999	GSM420733
GM12000	GSM420734
GM12001	GSM420735
GM12002	GSM420736
GM12003	GSM420737
GM12004	GSM420738
GM12005	GSM420739
GM12006	GSM420740
