GSM424320	GM06985
GSM424321	GM06993
GSM424322	GM06994
GSM424323	GM07000
GSM424324	GM07022
GSM424325	GM07034
GSM424326	GM07055
GSM424327	GM07056
GSM424328	GM07345
GSM424329	GM11829
GSM424330	GM11830
GSM424331	GM11831
GSM424332	GM11832
GSM424333	GM11839
GSM424334	GM11881
GSM424335	GM11882
GSM424336	GM11992
GSM424337	GM11993
GSM424338	GM11994
GSM424339	GM12003
GSM424340	GM12004
GSM424341	GM12005
GSM424342	GM12006
GSM424343	GM12043
GSM424344	GM12044
GSM424345	GM12056
GSM424346	GM12057
GSM424347	GM12144
GSM424348	GM12145
GSM424349	GM12155
GSM424350	GM12264
GSM424351	GM12716
GSM424352	GM12717
GSM424353	GM12750
GSM424354	GM12762
GSM424355	GM12813
GSM424356	GM12814
GSM424357	GM12815
GSM424358	GM12872
GSM424359	GM12874
GSM424360	GM12891
