SRX014928	SRR032238
SRX014929	SRR032239
SRX014930	SRR032240
SRX014931	SRR032241
SRX014932	SRR032242
SRX014933	SRR032243
SRX014934	SRR032244
SRX014935	SRR032245
SRX014936	SRR032246
SRX014937	SRR032247
SRX014938	SRR032248
SRX014939	SRR032249
SRX014940	SRR032250
SRX014941	SRR032251
SRX014941	SRR034164
SRX014942	SRR032252
SRX014943	SRR032253
SRX014944	SRR032254
SRX014945	SRR032255
SRX014946	SRR032256
SRX014947	SRR032257
SRX014948	SRR032258
SRX014949	SRR032259
SRX014950	SRR032260
SRX014951	SRR032261
SRX014952	SRR032262
SRX014953	SRR032263
SRX014954	SRR032264
SRX014955	SRR032265
SRX014956	SRR032266
SRX014957	SRR032267
SRX014958	SRR032268
SRX014959	SRR032269
SRX014960	SRR032270
SRX014960	SRR034194
SRX014961	SRR032271
SRX014962	SRR032272
SRX014963	SRR032273
SRX014964	SRR032274
SRX014964	SRR034202
SRX014965	SRR032275
SRX014966	SRR032276
SRX014967	SRR032277
SRX014968	SRR032278
SRX014968	SRR034203
