GSM424320	SRX014928
GSM424321	SRX014929
GSM424322	SRX014930
GSM424323	SRX014931
GSM424324	SRX014932
GSM424325	SRX014933
GSM424326	SRX014934
GSM424327	SRX014935
GSM424328	SRX014936
GSM424329	SRX014937
GSM424330	SRX014938
GSM424331	SRX014939
GSM424332	SRX014940
GSM424333	SRX014941
GSM424334	SRX014942
GSM424335	SRX014943
GSM424336	SRX014944
GSM424337	SRX014945
GSM424338	SRX014946
GSM424339	SRX014947
GSM424340	SRX014948
GSM424341	SRX014949
GSM424342	SRX014950
GSM424343	SRX014951
GSM424344	SRX014952
GSM424345	SRX014953
GSM424346	SRX014954
GSM424347	SRX014955
GSM424348	SRX014956
GSM424349	SRX014957
GSM424350	SRX014958
GSM424351	SRX014959
GSM424352	SRX014960
GSM424353	SRX014961
GSM424354	SRX014962
GSM424355	SRX014963
GSM424356	SRX014964
GSM424357	SRX014965
GSM424358	SRX014966
GSM424359	SRX014967
GSM424360	SRX014968
