GSM424320	GM06985	SRX014928	SRR032238
GSM424321	GM06993	SRX014929	SRR032239
GSM424322	GM06994	SRX014930	SRR032240
GSM424323	GM07000	SRX014931	SRR032241
GSM424324	GM07022	SRX014932	SRR032242
GSM424325	GM07034	SRX014933	SRR032243
GSM424326	GM07055	SRX014934	SRR032244
GSM424327	GM07056	SRX014935	SRR032245
GSM424328	GM07345	SRX014936	SRR032246
GSM424329	GM11829	SRX014937	SRR032247
GSM424330	GM11830	SRX014938	SRR032248
GSM424331	GM11831	SRX014939	SRR032249
GSM424332	GM11832	SRX014940	SRR032250
GSM424333	GM11839	SRX014941	SRR032251
GSM424333	GM11839	SRX014941	SRR034164
GSM424334	GM11881	SRX014942	SRR032252
GSM424335	GM11882	SRX014943	SRR032253
GSM424336	GM11992	SRX014944	SRR032254
GSM424337	GM11993	SRX014945	SRR032255
GSM424338	GM11994	SRX014946	SRR032256
GSM424339	GM12003	SRX014947	SRR032257
GSM424340	GM12004	SRX014948	SRR032258
GSM424341	GM12005	SRX014949	SRR032259
GSM424342	GM12006	SRX014950	SRR032260
GSM424343	GM12043	SRX014951	SRR032261
GSM424344	GM12044	SRX014952	SRR032262
GSM424345	GM12056	SRX014953	SRR032263
GSM424346	GM12057	SRX014954	SRR032264
GSM424347	GM12144	SRX014955	SRR032265
GSM424348	GM12145	SRX014956	SRR032266
GSM424349	GM12155	SRX014957	SRR032267
GSM424350	GM12264	SRX014958	SRR032268
GSM424351	GM12716	SRX014959	SRR032269
GSM424352	GM12717	SRX014960	SRR032270
GSM424352	GM12717	SRX014960	SRR034194
GSM424353	GM12750	SRX014961	SRR032271
GSM424354	GM12762	SRX014962	SRR032272
GSM424355	GM12813	SRX014963	SRR032273
GSM424356	GM12814	SRX014964	SRR032274
GSM424356	GM12814	SRX014964	SRR034202
GSM424357	GM12815	SRX014965	SRR032275
GSM424358	GM12872	SRX014966	SRR032276
GSM424359	GM12874	SRX014967	SRR032277
GSM424360	GM12891	SRX014968	SRR032278
GSM424360	GM12891	SRX014968	SRR034203
