GM06985,SRR032238
GM06993,SRR032239
GM06994,SRR032240
GM07000,SRR032241
GM07022,SRR032242
GM07034,SRR032243
GM07055,SRR032244
GM07056,SRR032245
GM07345,SRR032246
GM11829,SRR032247
GM11830,SRR032248
GM11831,SRR032249
GM11832,SRR032250
GM11839,SRR032251
GM11839,SRR034164
GM11881,SRR032252
GM11882,SRR032253
GM11992,SRR032254
GM11993,SRR032255
GM11994,SRR032256
GM12003,SRR032257
GM12004,SRR032258
GM12005,SRR032259
GM12006,SRR032260
GM12043,SRR032261
GM12044,SRR032262
GM12056,SRR032263
GM12057,SRR032264
GM12144,SRR032265
GM12145,SRR032266
GM12155,SRR032267
GM12264,SRR032268
GM12716,SRR032269
GM12717,SRR032270
GM12717,SRR034194
GM12750,SRR032271
GM12762,SRR032272
GM12813,SRR032273
GM12814,SRR032274
GM12814,SRR034202
GM12815,SRR032275
GM12872,SRR032276
GM12874,SRR032277
GM12891,SRR032278
GM12891,SRR034203
