TCGA-AB-2803:SRR061755,SRR061756
TCGA-AB-2805:SRR050960,SRR050961
TCGA-AB-2806:SRR054770,SRR054771
TCGA-AB-2807:SRR050942,SRR050943
TCGA-AB-2808:SRR050953,SRR050952
TCGA-AB-2810:SRR061813,SRR061814
TCGA-AB-2812:SRR050970,SRR050971
TCGA-AB-2813:SRR061832,SRR061831
TCGA-AB-2814:SRR050972,SRR050973
TCGA-AB-2816:SRR050968,SRR050969
TCGA-AB-2817:SRR061809,SRR061810
TCGA-AB-2818:SRR050951,SRR050950
TCGA-AB-2819:SRR050966,SRR050967
TCGA-AB-2820:SRR054778,SRR054779
TCGA-AB-2821:SRR054783,SRR054784
TCGA-AB-2822:SRR050958,SRR050959
TCGA-AB-2823:SRR061840,SRR061839
TCGA-AB-2824:SRR061819,SRR061820
TCGA-AB-2825:SRR061845,SRR061846
TCGA-AB-2826:SRR050947,SRR050946
TCGA-AB-2828:SRR050964,SRR050965
