TCGA-AB-2901:SRR054809.sra,SRR054810.sra
TCGA-AB-2903:SRR061759.sra,SRR061760.sra
TCGA-AB-2904:SRR061763.sra,SRR061764.sra
TCGA-AB-2910:SRR061856.sra,SRR061855.sra
TCGA-AB-2911:SRR050995.sra,SRR050994.sra
TCGA-AB-2912:SRR050997.sra,SRR050996.sra
TCGA-AB-2913:SRR049802.sra,SRR049801.sra
TCGA-AB-2914:SRR051005.sra,SRR051004.sra
TCGA-AB-2915:SRR061864.sra,SRR061863.sra
TCGA-AB-2916:SRR054773.sra,SRR054772.sra
TCGA-AB-2917:SRR050990.sra,SRR050991.sra
TCGA-AB-2918:SRR061868.sra,SRR061867.sra
TCGA-AB-2919:SRR061866.sra,SRR061865.sra
TCGA-AB-2921:SRR061872.sra,SRR061871.sra
TCGA-AB-2924:SRR061874.sra,SRR061873.sra
TCGA-AB-2925:SRR061779.sra,SRR061780.sra
TCGA-AB-2927:SRR061858.sra,SRR061857.sra
TCGA-AB-2928:SRR061876.sra,SRR061875.sra
TCGA-AB-2930:SRR061870.sra,SRR061869.sra
TCGA-AB-2931:SRR061854.sra,SRR061853.sra
TCGA-AB-2932:SRR061860.sra,SRR061859.sra
TCGA-AB-2933:SRR051009.sra,SRR051008.sra
TCGA-AB-2934:SRR061882.sra,SRR061881.sra
TCGA-AB-2935:SRR061852.sra,SRR061851.sra
TCGA-AB-2936:SRR061878.sra,SRR061877.sra
TCGA-AB-2937:SRR061771.sra,SRR061772.sra
TCGA-AB-2938:SRR061900.sra,SRR061899.sra
TCGA-AB-2939:SRR061862.sra,SRR061861.sra
TCGA-AB-2940:SRR061842.sra,SRR061841.sra
TCGA-AB-2941:SRR061850.sra,SRR061849.sra
TCGA-AB-2942:SRR061769.sra,SRR061770.sra
TCGA-AB-2943:SRR061880.sra,SRR061879.sra
TCGA-AB-2944:SRR061884.sra,SRR061883.sra
TCGA-AB-2946:SRR061886.sra,SRR061885.sra
TCGA-AB-2948:SRR061848.sra,SRR061847.sra
TCGA-AB-2950:SRR054793.sra,SRR054794.sra
TCGA-AB-2954:SRR061844.sra,SRR061843.sra
TCGA-AB-2955:SRR061766.sra,SRR061765.sra
TCGA-AB-2956:SRR061888.sra,SRR061887.sra
TCGA-AB-2959:SRR050988.sra,SRR050989.sra
TCGA-AB-2963:SRR050944.sra,SRR050945.sra
TCGA-AB-2964:SRR050982.sra,SRR050983.sra
TCGA-AB-2965:SRR050984.sra,SRR050985.sra
TCGA-AB-2966:SRR061762.sra,SRR061761.sra
TCGA-AB-2967:SRR050986.sra,SRR050987.sra
TCGA-AB-2969:SRR050992.sra,SRR050993.sra
TCGA-AB-2970:SRR049804.sra,SRR049803.sra
TCGA-AB-2971:SRR050999.sra,SRR050998.sra
TCGA-AB-2972:SRR051000.sra,SRR051001.sra
TCGA-AB-2973:SRR051003.sra,SRR051002.sra
TCGA-AB-2975:SRR054775.sra,SRR054774.sra
TCGA-AB-2976:SRR051007.sra,SRR051006.sra
TCGA-AB-2978:SRR061767.sra,SRR061768.sra
TCGA-AB-2980:SRR051011.sra,SRR051010.sra
TCGA-AB-2983:SRR051012.sra,SRR054711.sra
TCGA-AB-2984:SRR061773.sra,SRR061774.sra
TCGA-AB-2985:SRR051013.sra,SRR051014.sra
TCGA-AB-2986:SRR061775.sra,SRR061776.sra
TCGA-AB-2987:SRR051015.sra,SRR054712.sra
TCGA-AB-2994:SRR054781.sra,SRR054782.sra
TCGA-AB-2995:SRR054785.sra,SRR054786.sra
TCGA-AB-2996:SRR054787.sra,SRR054788.sra
TCGA-AB-2998:SRR061786.sra,SRR061785.sra
TCGA-AB-3000:SRR054845.sra,SRR054844.sra
TCGA-AB-3001:SRR061836.sra,SRR061835.sra
TCGA-AB-3002:SRR061893.sra,SRR061894.sra
TCGA-AB-3005:SRR061817.sra,SRR061818.sra
TCGA-AB-3006:SRR054847.sra,SRR054846.sra
TCGA-AB-3007:SRR061898.sra,SRR061897.sra
TCGA-AB-3008:SRR061828.sra,SRR061827.sra
TCGA-AB-3009:SRR061834.sra,SRR061833.sra
TCGA-AB-3011:SRR054825.sra,SRR054826.sra
TCGA-AB-3012:SRR061891.sra,SRR061892.sra
